sender,subject,body,label
security@signin-alert.example,Login from a new device,"If this was not you, reset now at http://10.0.0.4/secure.",1
benefits@claim-center.example,Benefits claim expires,Your benefit expires today. Verify your identity to avoid losing the payment.,1
support@subscription-fix.example,Action required: subscription issue,Payment failed. Confirm your card number through the account portal immediately.,1
mail@account-restore.example,Account recovery pending,Confirm your password and security question to restore your email access.,1
alerts@company-login.example,Unusual sign-in attempt,Click here to confirm your identity. Failure to respond will suspend your account.,1
notification@storage-upgrade.example,Mailbox upgrade required,Log in now to avoid deletion of incoming messages.,1
manager@fast-request.example,Need this done now,Purchase gift cards and reply with the codes. I cannot take a phone call.,1
accounts@vendor-change.example,Updated payment instructions,Use the new bank account listed below for all future invoices. Urgent change.,1
claims@insurance-update.example,Insurance payout ready,Confirm your bank account and identity before the payout expires.,1
security@verify-device.example,Device verification,Enter your password at the link to trust this device and prevent a lockout.,1
portal@document-share.example,Document shared with you,Open the document and sign in with your work password to view it.,1
billing@service-restore.example,Restore your service,Your payment failed. Click here and provide card details immediately.,1
notice@refund-team.example,Refund needs verification,Verify your account number and password to release the refund.,1
admin@system-maintenance.example,System maintenance login,All users must verify credentials before maintenance begins tonight.,1
teacher@school.edu,Updated class schedule,The class will begin at 10 AM tomorrow. Please bring your notes and assignment.,0
library@school.edu,Book return reminder,The library book is due next Tuesday. You may return it at the front desk.,0
manager@company.example,Weekly team meeting,Our weekly meeting is Friday at 2 PM in Conference Room B.,0
events@community.example,Community workshop registration,Registration is open for Saturday's workshop. Details are on the official community page.,0
noreply@calendar.example,Invitation: Project review,You have been invited to the project review meeting on Monday at 11 AM.,0
support@software.example,Your support ticket update,Your support ticket has been assigned. Reply to this email with any additional details.,0
billing@utility.example,Monthly statement available,Your monthly statement is available in the official customer portal. No immediate action is required.,0
hr@company.example,Holiday calendar,The updated holiday calendar is attached as a PDF for reference.,0
newsletter@museum.example,Museum events this month,Here are the public exhibitions and family activities scheduled this month.,0
coach@sportsclub.example,Practice moved indoors,"Because of rain, practice will take place in the indoor hall at the usual time.",0
registrar@university.edu,Course enrollment confirmation,Your course enrollment was completed successfully. Review the schedule in the student portal.,0
orders@shop.example,Order confirmation,Thank you for your order. The expected delivery date is listed in your account.,0
admin@company.example,Office maintenance notice,The office network will be unavailable Saturday from 7 AM to 8 AM for scheduled maintenance.,0
colleague@company.example,Draft report feedback,I added comments to the draft report. We can discuss them in tomorrow's meeting.,0
club@school.edu,Science club agenda,This week's agenda includes the robotics demonstration and planning for the exhibition.,0
travel@company.example,Approved travel itinerary,Your approved itinerary is attached. Contact the travel desk if any detail is incorrect.,0
notifications@project.example,Task assigned,A new documentation task has been assigned to you in the project workspace.,0
finance@company.example,Expense report received,Your expense report was received and is pending the normal review process.,0
principal@school.edu,Parent meeting reminder,The parent meeting starts at 4 PM on Wednesday in the auditorium.,0
lab@university.edu,Lab access hours,The laboratory will be open from 9 AM to 5 PM during the examination week.,0
membership@library.example,Membership renewal notice,Your membership expires next month. Renewal is available at the library desk or official website.,0
mentor@program.example,Mentoring session notes,Thank you for attending. Attached are the notes and agreed next steps.,0
updates@transit.example,Route schedule change,Bus route 12 will follow a revised schedule beginning Monday.,0
service@internet.example,Planned service maintenance,Internet service may be briefly interrupted between 1 AM and 2 AM Sunday.,0
communications@company.example,Quarterly town hall,The quarterly town hall will be streamed from the official employee portal.,0
healthdesk@school.edu,Health form reminder,Please return the signed school health form to the administration office by Friday.,0
research@university.edu,Survey invitation,You are invited to an optional academic survey. Participation is voluntary and anonymous.,0
teamlead@company.example,Code review complete,The code review is complete. Please address the two comments before merging.,0
reception@clinic.example,Appointment confirmation,This confirms your appointment at 3 PM on Thursday. Call the clinic if you need to reschedule.,0
accounts@company.example,Invoice received,We received invoice 1042 and it has entered the standard approval workflow.,0
store@retailer.example,Receipt for your purchase,Your receipt is attached. Keep it for your records.,0
conference@events.example,Speaker schedule published,The speaker schedule is now available on the official event page.,0
helpdesk@company.example,Ticket resolved,The printer issue has been resolved. Reply if the problem continues.,0
faculty@university.edu,Assignment deadline clarification,The assignment remains due at 5 PM Friday. The rubric is unchanged.,0
volunteer@charity.example,Volunteer shift reminder,Your volunteer shift begins at 9 AM Saturday. Please arrive ten minutes early.,0
admin@housing.example,Building water maintenance,Water service will be paused for scheduled maintenance from noon to 1 PM.,0
editor@journal.example,Submission received,Your article submission was received and will be reviewed according to the published timeline.,0
support@bank.example,Requested address update complete,The address change you requested in the official branch has been completed.,0
teacher@academy.example,Homework materials,The worksheet and reading list are attached for next week's lesson.,0
organizer@hackathon.example,Hackathon orientation,Orientation begins online at 6 PM. The meeting link is available in the registered participant portal.,0
